Property Title,Price,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment,Terrace,Cellar,Beds
"Condo/Apartment for sale in Paris, France","$600,777",2,,1,37 m²,Condo/Apartment,,,,,Electric,,E326,B10,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$711,302",3,,2,70 m²,,,,,,,,D226,D48,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$568,768",2,,1,49 m²,,,,,,,,D176,D31,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$579,985",3,,2,51 m²,Condo/Apartment,,,,,Gas,,F350,F77,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$525,269",2,,1,40 m²,,,,,,,,E273,E59,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$689,416",3,,1,50 m²,Condo/Apartment,,,,,Gas,,D224,D48,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$3,096,900",6,,3,145 m²,,,,,,,,No data,No data,,,1,1,,,,,,,,,,,,,
"House for sale in Paris, France","$1,471,848",7,,5,184 m²,House,,,,,Solar,,D227,B7,,,2,3,,,,,,2,,,,,,,
"Condo/Apartment for sale in Paris, France","$625,946",3,,2,41 m²,,,,,,,,F404,C13,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$600,777",3,,2,63 m²,Condo/Apartment,,,,,Gas,,E236,E52,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$525,269",2,,1,35 m²,,,,,,,,D192,A5,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$398,329",2,,1,38 m²,Condo/Apartment,,,,,Electric,,D222,B7,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$782,432",4,,3,80 m²,,,,,,,,E287,E64,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$908,278",3,,2,81 m²,Condo/Apartment,,,,,Electric,,D241,B7,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$333,765",1,,,21 m²,Condo/Apartment,,,,,Gas,,D180,A5,,,,1,,,,,,,,,,,,,
T2,"$186,033",2,,1,18 m²,,,,,,,,G599,C19,18 m²,,1,,,,,,,,,,,,,,
T2,"$136,789",2,,,14 m²,,,,,,,,E285,B8,14 m²,,,,,,,,,,,,,,,,
2P SAUSSURE,"$546,061",2,7,,51.83 m²,Condo/Apartment,,,1971,,,,E286,E62,51 m²,,1,1,,,,,,,21 m²,,,,,,
"Condo/Apartment for sale in Paris, France","$367,688",1,,,37 m²,Condo/Apartment,,,,,Gas,,C113,C26,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$339,236",2,,1,32 m²,Condo/Apartment,,,,,Electric,,G518,C17,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$654,398",3,,2,45 m²,Condo/Apartment,New,,,,Electric,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$623,757",2,,1,40 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$404,895",2,,1,33 m²,Condo/Apartment,,,,,Electric,,E330,C13,,,1,1,,,,,,,,,,,,,
