,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment
64,4,32.0,3.0,88.0,,,,,,,,D219,C27,88 m²,,2.0,2.0,,,,,1.0,1.0,,,,
65,5,1.0,4.0,113.0,Condo/Apartment,,,,,Gas,Boiler,D229,D48,113 m²,,2.0,1.0,,,,,,,,,,
66,1,,,32.0,Condo/Apartment,,,,,Gas,,E321,E51,,,1.0,1.0,,,,,,,,,,
67,6,,3.0,150.0,Condo/Apartment,,,,,Gas,,E326,E62,,,1.0,2.0,,,,,,,,,,
68,1,,,20.0,,,,,,,,D247,A7,,,,,,,,,,,,,,
69,1,,,22.0,Condo/Apartment,,,,,Electric,,C161,B11,,,1.0,1.0,,,,,,,,,,
70,4,,3.0,111.0,,,,,,,,D247,D44,,,2.0,2.0,,,,,,,,,,
71,3,,2.0,82.0,Condo/Apartment,,,,,Electric,,E316,B10,,,1.0,1.0,,,,,,,,,,
72,3,,2.0,54.0,Condo/Apartment,,,,,Electric,,D234,B7,,,,1.0,,,,,,,,,,
73,3,,2.0,75.0,,,,,,,,E282,B9,,,1.0,1.0,,,,,,,,,,
74,5,,4.0,122.0,House,,,,,Gas,,E308,E68,,,1.0,2.0,,,,,,,,,,
75,3,,2.0,66.0,Condo/Apartment,,,,,Electric,,D201,B6,,,1.0,1.0,,,,,,,,,,
76,5,,3.0,148.0,Condo/Apartment,,,,,Gas,,No data,No data,,,1.0,2.0,,,,,,,,,,
77,3,,2.0,54.0,,,,,,,,No data,No data,,,,1.0,,,,,,,,,,
78,3,,2.0,64.0,,,,,,,,No data,No data,,,1.0,1.0,,,,,,,,,,
79,1,,,21.0,,,,,,,,A60,E60,,,,,,,,,,,,,,
80,1,,1.0,22.0,Condo/Apartment,,,,,Electric,,F408,C13,,,,1.0,,,,,,,,,,
81,1,,1.0,8.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
82,1,,1.0,21.0,,,,,,,,No data,No data,,,,1.0,,,,,,,,,,
83,1,,,23.0,,,,,,,,No data,No data,,,,1.0,,,,,,,,,,
84,4,,2.0,85.0,Condo/Apartment,,,,,Gas,,D228,D42,,,,2.0,,,,,,,,,,
85,2,,1.0,32.0,Condo/Apartment,,,,,Electric,,G518,C17,32 m²,,1.0,1.0,,,,,,,11 m²,,,
86,3,,2.0,34.0,Condo/Apartment,,,,,Electric,,E328,B10,,,,1.0,,,,,,,,,,
87,2,,1.0,29.0,Condo/Apartment,,,,,Electric,,E328,B10,,,1.0,1.0,,,,,,,,,,
88,1,,,15.0,Condo/Apartment,,,,,Electric,,G655,C21,,,1.0,1.0,,,,,,,,,,
89,5,,3.0,108.0,,,,,,,,D199,C27,,,,2.0,,,,,,,,,,
90,2,,1.0,30.0,House,,,,,Electric,,E329,B10,,,1.0,1.0,,,,,,,,,,
91,2,,1.0,40.0,Condo/Apartment,,,,,Gas,,D207,D44,,,,1.0,,,,,,,,,,
92,2,,1.0,23.0,Condo/Apartment,,,,,Electric,,F412,C13,,,,1.0,,,,,,,,,,
93,1,,,32.0,Condo/Apartment,,,,,Electric,,E315,B10,,,1.0,,,,,,,,,,,
94,3,,1.0,84.0,Condo/Apartment,,,,,Solar,,E271,D38,,,1.0,1.0,,,,,,1.0,,,,
95,2,,1.0,84.0,Condo/Apartment,,,,,Solar,,E271,D38,,,1.0,1.0,,,,,,1.0,,,,
96,1,,,9.0,Condo/Apartment,,,,,Electric,,No data,No data,,,,,,,,,,,,,,
97,2,,,13.0,Condo/Apartment,,,,,Electric,,G831,C27,,,,,,,,,,,,,,
98,3,,2.0,46.0,Condo/Apartment,,,,,Gas,,F366,F80,,,1.0,1.0,,,,,,,,,,
99,3,,2.0,61.0,Condo/Apartment,,,,,Gas,,D229,D49,,,,1.0,,,,,,,,,,
100,3,,2.0,52.0,Condo/Apartment,,,,,Gas,,F346,F77,,,,1.0,,,,,,,,,,
101,3,,2.0,52.0,Condo/Apartment,,,,,Gas,,D173,D38,,,,1.0,,,,,,,,,,
102,4,,3.0,87.0,,,,,,,,E284,D37,,,2.0,1.0,,,,,,,,,,
103,4,,2.0,74.0,Condo/Apartment,,,,,Electric,,F378,C12,,,,2.0,,,,,,1.0,,,,
104,2,,1.0,48.0,,,,,,,,D231,D41,,,1.0,1.0,,,,,,,,,,
105,4,,3.0,102.0,Condo/Apartment,,,,,Solar,,D213,D35,,,1.0,1.0,,,,,,1.0,,,,
106,4,,3.0,76.0,Condo/Apartment,,,,,Gas,,D240,D43,,,,1.0,,,,,1.0,,,,,
107,2,,1.0,53.0,,,,,,,,E295,E46,,,1.0,1.0,,,,,,,,,,
108,1,,,7.0,,,,,,,,No data,No data,,,,1.0,,,,,,,,,,
109,2,,1.0,53.0,,,,,,,,D225,D46,,,,1.0,,,,,,,,,,
110,2,,1.0,53.0,,,,,,,,D211,D43,,,,1.0,,,,,,,,,,
111,2,,1.0,55.0,Condo/Apartment,,,,,Electric,,E315,B10,,,1.0,1.0,,,,,,,,,,
112,2,,1.0,37.0,Condo/Apartment,,,,,Electric,,E326,B10,,,1.0,1.0,,,,,,,,,,
113,3,,2.0,70.0,,,,,,,,D226,D48,,,1.0,1.0,,,,,,,,,,
114,2,,1.0,49.0,,,,,,,,D176,D31,,,1.0,1.0,,,,,,,,,,
115,3,,2.0,51.0,Condo/Apartment,,,,,Gas,,F350,F77,,,,1.0,,,,,,,,,,
116,2,,1.0,40.0,,,,,,,,E273,E59,,,1.0,1.0,,,,,,,,,,
117,3,,1.0,50.0,Condo/Apartment,,,,,Gas,,D224,D48,,,1.0,1.0,,,,,,,,,,
118,6,,3.0,145.0,,,,,,,,No data,No data,,,1.0,1.0,,,,,,,,,,
119,7,,5.0,184.0,House,,,,,Solar,,D227,B7,,,2.0,3.0,,,,,,2.0,,,,
120,3,,2.0,41.0,,,,,,,,F404,C13,,,1.0,1.0,,,,,,,,,,
121,3,,2.0,63.0,Condo/Apartment,,,,,Gas,,E236,E52,,,1.0,1.0,,,,,,,,,,
122,2,,1.0,35.0,,,,,,,,D192,A5,,,,1.0,,,,,,,,,,
123,2,,1.0,38.0,Condo/Apartment,,,,,Electric,,D222,B7,,,1.0,1.0,,,,,,,,,,
124,4,,3.0,80.0,,,,,,,,E287,E64,,,1.0,1.0,,,,,,,,,,
125,3,,2.0,81.0,Condo/Apartment,,,,,Electric,,D241,B7,,,,1.0,,,,,,,,,,
126,1,,,21.0,Condo/Apartment,,,,,Gas,,D180,A5,,,,1.0,,,,,,,,,,
127,2,,1.0,18.0,,,,,,,,G599,C19,18 m²,,1.0,,,,,,,,,,,
128,2,,,14.0,,,,,,,,E285,B8,14 m²,,,,,,,,,,,,,
129,2,7.0,,51.83,Condo/Apartment,,,1971.0,,,,E286,E62,51 m²,,1.0,1.0,,,,,,,21 m²,,,
130,1,,,37.0,Condo/Apartment,,,,,Gas,,C113,C26,,,,,,,,,,,,,,
131,2,,1.0,32.0,Condo/Apartment,,,,,Electric,,G518,C17,,,,1.0,,,,,,,,,,
132,3,,2.0,45.0,Condo/Apartment,New,,,,Electric,,No data,No data,,,,,,,,,,,,,,
133,2,,1.0,40.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
134,2,,1.0,33.0,Condo/Apartment,,,,,Electric,,E330,C13,,,1.0,1.0,,,,,,,,,,
135,1,,,19.0,Condo/Apartment,,,,,Electric,,No data,No data,,,,2.0,,,,,,,,,,
136,3,,2.0,60.0,Condo/Apartment,,,,,Electric,,G726,C24,,,1.0,1.0,,,,,,,,,,
137,4,,2.0,80.0,Condo/Apartment,,,,,Electric,,E292,B10,,,1.0,2.0,,,,,,,,,,
138,3,,2.0,88.0,,,,,,,,D41,D42,,,1.0,1.0,,,,,,,,,,
139,3,,2.0,88.0,,,,,,,,D41,D42,,,1.0,1.0,,,,,,,,,,
140,5,,3.0,110.0,,,,,,,,C134,C28,,,1.0,1.0,,,,,,1.0,,,,
141,4,,2.0,85.0,,,,,,,,C173,A5,,,1.0,1.0,,,,,,,,,,
142,3,,2.0,76.0,Condo/Apartment,,,,,Electric,,F346,C11,,,,1.0,,,,,,,,,,
143,5,,4.0,116.0,Condo/Apartment,,,,,Gas,,D236,D48,,,1.0,2.0,,,,,,1.0,,,,
144,4,,2.0,110.0,Condo/Apartment,,,,,Gas,,E312,E68,,,2.0,2.0,,,,,1.0,1.0,,,,
145,1,,,18.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
146,2,,,30.0,,,,,,,,E238,E69,,,1.0,1.0,,,,,,,,,,
147,1,,,37.0,Condo/Apartment,,,,,Electric,,E299,B9,,,,1.0,,,,,,,,,,
148,2,,1.0,43.0,Condo/Apartment,,,,,Electric,,E312,B10,,,,1.0,,,,,,,,,,
149,2,,1.0,43.0,Condo/Apartment,,,,,Electric,,E312,B10,,,,1.0,,,,,,,,,,
150,2,,1.0,58.0,,,,,,,,E276,B8,,,1.0,,,,,,,,,,,
151,2,,,34.0,Condo/Apartment,,,,,Electric,,D221,B7,,,,,,,,,,,,,,
152,4,,,73.0,,,,,,,,E264,E57,,,,,,,,,,,,,,
153,3,,2.0,60.0,Condo/Apartment,,,,,Electric,,E283,B9,,,,1.0,,,,,,,,,,
154,2,,,54.0,,,,,,,,D191,A5,,,,,,,,,,,,,,
155,3,,1.0,35.0,,,,,,,,F342,F72,,,,1.0,,,,,,,,,,
156,3,,1.0,50.0,Condo/Apartment,,,,,Gas,,G688,C23,,,,1.0,,,,,,,,,,
157,3,,2.0,63.0,Condo/Apartment,,,,,Electric,,E260,E56,,,,1.0,,,,,,,,,,
158,2,,1.0,34.0,Condo/Apartment,,,,,Electric,,No data,No data,,,,1.0,,,,,,,,,,
159,3,,2.0,76.0,Condo/Apartment,,,,,Electric,,E262,B8,,,1.0,2.0,,,,,,,,,,
160,2,,1.0,33.0,,,,,,,,E253,E54,,,1.0,1.0,,,,,,,,,,
161,2,,1.0,48.0,Condo/Apartment,,,,,Electric,,C149,A4,,,1.0,1.0,,,,,,,,,,
162,2,,1.0,47.0,Condo/Apartment,,,,,Electric,,G507,C25,,,1.0,1.0,,,,,,,,,,
163,1,,,8.0,,,,,,,,G842,C27,,,,,,,,,,,,,,
164,2,,1.0,48.0,Condo/Apartment,,,,,Gas,,F407,F87,,,1.0,1.0,,,,,,,,,,
165,3,,2.0,31.0,,,,,,,,E278,B9,,,,,,,,,,,,,,
166,4,,3.0,51.0,,,,,,,,E316,E69,,,,,,,,,,,,,,
167,1,,,31.0,Condo/Apartment,,,,,Gas,,F336,F72,,,1.0,1.0,,,,,,,,,,
168,2,,1.0,33.0,Condo/Apartment,,,,,Electric,,E325,B10,,,1.0,1.0,,,,,,,,,,
169,2,,1.0,17.0,Condo/Apartment,,,,,Electric,,G1273,D42,,,,1.0,,,,,,,,,,
170,3,,2.0,77.0,Condo/Apartment,,,,,Gas,,F352,F77,,,1.0,1.0,,,,,,,,,,
171,4,,2.0,83.0,,,,,,,,E269,E58,,,,1.0,,,,,,,,,,
172,1,,,11.0,Condo/Apartment,,,,,Electric,,No data,No data,,,,,,,,,,,,,,
173,3,,2.0,38.0,Condo/Apartment,,,,,Gas,,F388,F84,,,1.0,1.0,,,,,,,,,,
174,1,,,30.0,,,,,,,,F407,F89,,,1.0,1.0,,,,,,,,,,
175,2,,1.0,44.0,,,,,,,,E277,B9,,,1.0,1.0,,,,,,,,,,
176,2,,1.0,34.0,Condo/Apartment,,,,,Gas,,E274,E58,,,1.0,1.0,,,,,,,,,,
177,1,,,18.0,,,,,,,,F411,E57,,,1.0,1.0,,,,,,,,,,
178,3,,1.0,59.0,Condo/Apartment,,,,,Electric,,No data,No data,,,1.0,1.0,,,,,,,,,,
179,2,,1.0,47.0,Condo/Apartment,,,,,Gas,,E231,E50,,,1.0,1.0,,,,,,,,,,
180,5,,4.0,109.0,Condo/Apartment,,,,,Gas,,D191,D31,,,1.0,2.0,,,,,,,,,,
181,2,,,21.0,,,,,,,,D244,D47,21 m²,,,,,,,,,,,,,
182,4,,2.0,97.0,Condo/Apartment,,,,,Electric,,F341,C11,,,1.0,1.0,,,,,,,,,,
183,5,,3.0,122.0,,,,,,,,No data,No data,,,1.0,1.0,,,,,,,,,,
184,3,,2.0,126.0,Condo/Apartment,,,,,Gas,,D168,D33,,,,1.0,,,,,,,,,,
185,2,,1.0,48.0,Condo/Apartment,,,,,Gas,,E254,E55,,,,1.0,,,,,,,,,,
186,2,,1.0,29.0,Condo/Apartment,,,,,Electric,,G615,C20,,,,1.0,,,,,,,,,,
187,1,,,27.0,Condo/Apartment,New,,,,,,No data,No data,,,,1.0,,,,,1.0,,,,,
188,3,,2.0,82.0,Condo/Apartment,,,,,Fuel oil,,E220,E68,,,1.0,1.0,,,,,,,,,,
189,5,,3.0,186.0,Condo/Apartment,,,,,Gas,,C77,C16,,,1.0,2.0,,,,,,,,,,
190,3,,2.0,60.0,Condo/Apartment,,,,,Electric,,D210,B6,,,,1.0,,,,,,,,,,
191,3,,2.0,67.0,Condo/Apartment,New,,,,,,No data,No data,,,,1.0,,,,,1.0,,,,,
192,2,,1.0,37.0,Condo/Apartment,New,,,,,,D235,B10,,,,1.0,,,,,,,,,,
193,1,,,32.0,Condo/Apartment,,,,,Gas,,E291,E62,,,1.0,1.0,,,,,,,,,,
194,2,,1.0,48.0,Condo/Apartment,,,,,Gas,,D180,D37,,,1.0,1.0,,,,,,,,,,
195,2,,1.0,47.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
196,3,,2.0,67.0,,,,,,,,No data,No data,,,1.0,,,,,,,,,,,
197,1,,,15.0,,,,,,,,F414,C13,,,,1.0,,,,,,,,,,
198,4,,3.0,62.0,Condo/Apartment,,,,,Gas,,D226,D48,,,1.0,1.0,,,,,,,,,,
199,2,,1.0,60.0,Condo/Apartment,,,,,Gas,,E313,E55,,,1.0,,,,,,,,,,,
200,2,,1.0,31.0,Condo/Apartment,,,,,Electric,,G684,C22,,,,1.0,,,,,,,,,,
201,3,,,80.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
202,1,,,31.0,Condo/Apartment,New,,,,Electric,,F368,C12,,,1.0,1.0,,,,,,,,,,
203,5,,4.0,91.0,Condo/Apartment,,,,,Gas,,D215,D35,,,1.0,2.0,,,,,,,,,,
204,2,,1.0,33.0,Condo/Apartment,,,,,Electric,,F368,C12,,,,1.0,,,,,,,,,,
205,2,,1.0,41.0,Condo/Apartment,,,,,Electric,,F378,C12,,,,1.0,,,,,,,,,,
206,1,,,14.0,,,,,,,,C140,D50,,,,,,,,,,,,,,
207,3,,2.0,55.0,,,,,,,,E280,D35,,,1.0,1.0,,,,,,,,,,
208,1,,,12.0,Condo/Apartment,,,,,Gas,,F511,F108,,,,,,,,,,,,,,
209,4,,3.0,81.0,Condo/Apartment,New,,,,,,No data,No data,,,1.0,,,,,,,,,,,
210,4,,2.0,83.0,Condo/Apartment,,,,,Gas,,E256,E56,,,1.0,1.0,,,,,,1.0,,,,
211,2,,1.0,45.0,Condo/Apartment,,,,,Gas,,F374,F82,,,,1.0,,,,,,,,,,
212,3,,2.0,67.0,,,,,,,,D234,D42,,,1.0,1.0,,,,,,,,,,
213,3,,2.0,58.0,Condo/Apartment,,,,,Gas,,D222,D48,,,1.0,1.0,,,,,,1.0,,,,
214,2,,1.0,50.0,,,,,,,,No data,No data,,,1.0,,,,,,,,,,,
215,2,,1.0,49.0,Condo/Apartment,,,,,Electric,,E290,B9,,,,1.0,,,,,,,,,,
216,3,,2.0,54.0,,,,,,,,No data,No data,,,1.0,,,,,,,,,,,
217,3,,2.0,58.0,,,,,,,,No data,No data,,,1.0,,,,,,,,,,,
218,3,,2.0,63.0,,,,,,,,No data,No data,,,1.0,,,,,,,,,,,
219,3,,2.0,63.0,Condo/Apartment,New,,,,,,No data,No data,,,1.0,,,,,,,,,,,
220,3,,2.0,63.0,Condo/Apartment,New,,,,,,No data,No data,,,1.0,,,,,,,,,,,
221,2,,1.0,72.0,Condo/Apartment,New,,,,,,No data,No data,,,1.0,,,,,,,,,,,
222,2,,1.0,48.0,Condo/Apartment,,,,,Fuel oil,,G335,G104,,,1.0,1.0,,,,,,,,,,
223,3,,2.0,44.0,,,,,,,,No data,No data,,,,1.0,,,,,,,,,,
224,1,,,5.0,Condo/Apartment,,,,,Electric,,G743,C23,,,,1.0,,,,,,,,,,
225,4,,3.0,102.0,,,,,,,,No data,No data,,,1.0,,,,,,,,,,,
226,6,,4.0,200.0,Condo/Apartment,,,,,Gas,,E227,E50,,,1.0,2.0,,,,,,,,,,
227,3,,2.0,43.0,Condo/Apartment,,,,,Gas,,E248,E53,,,1.0,1.0,,,,,,,,,,
228,1,,,26.0,,,,,,,,G555,C18,,,,1.0,,,,,,,,,,
229,5,,3.0,160.0,,,,,,,,E250,E65,,,,2.0,,,,,,,,,,
230,4,,3.0,80.0,Condo/Apartment,,,,,Electric,,E312,B10,,,1.0,2.0,,,,,,,,,,
231,1,,,8.0,Condo/Apartment,,,,,Electric,,G790,C25,,,,1.0,,,,,,,,,,
232,2,,1.0,49.0,Condo/Apartment,,,,,Gas,,E269,E58,,,1.0,1.0,,,,,,,,,,
233,2,,1.0,31.0,Condo/Apartment,New,,,,Fuel oil,,E278,E56,,,,1.0,,,,,,,,,,
234,1,,,25.0,Condo/Apartment,,,,,Electric,,F431,C14,,,1.0,1.0,,,,,,,,,,
235,2,,1.0,26.0,,,,,,,,D268,D51,,,,1.0,,,,,,,,,,
236,1,,,27.0,Condo/Apartment,,,,,Electric,,F359,B11,,,,1.0,,,,,,,,,,
237,3,,2.0,69.0,Condo/Apartment,,,,,Gas,,D206,D44,,,1.0,1.0,,,,,,1.0,,,,
238,4,,3.0,100.0,House,,,,,Gas,,C105,C22,,,1.0,2.0,,,,,,2.0,,,,
239,3,,1.0,70.0,Condo/Apartment,,,,,Gas,,D213,B6,,,,1.0,,,,,,,,,,
240,5,,3.0,118.0,Condo/Apartment,,,,,Gas,,D245,D49,,,,2.0,,,,,,,,,,
241,1,,,17.0,Condo/Apartment,,,,,Gas,,E297,E61,,,,1.0,,,,,,,,,,
242,1,,,28.0,Condo/Apartment,,,,,Electric,,C175,A5,,,,,,,,,,,,,,
243,3,,2.0,78.0,Condo/Apartment,,,,,Electric,,D235,B7,,,1.0,1.0,,,,,,1.0,,,,
244,2,,1.0,49.0,Condo/Apartment,,,,,Gas,,D221,D36,,,1.0,1.0,,,,,,1.0,,,,
245,2,,1.0,49.0,Condo/Apartment,,,,,Gas,,D221,D36,,,1.0,1.0,,,,,,1.0,,,,
246,6,,4.0,307.0,Condo/Apartment,,,,,Gas,,D195,D42,,,1.0,2.0,,,,,,,,,,
247,2,,1.0,29.0,Condo/Apartment,,,,,Gas,,E305,E65,,,,1.0,,,,,,,,,,
248,1,,1.0,15.0,Condo/Apartment,,,,,Electric,,G933,C30,,,3.0,,,,,,,,,,,
249,4,,3.0,87.0,,,,,,,,D192,D41,,,1.0,,,,,,,,,,,
250,2,,1.0,33.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
251,1,,,13.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
252,6,,4.0,180.0,,,,,,,,No data,No data,,,1.0,2.0,,,,,,,,,,
253,2,,1.0,51.0,Condo/Apartment,,,,,Gas,,E241,E51,,,,1.0,,,,,,,,,,
254,2,,1.0,23.0,,,,,,,,No data,No data,,,,1.0,,,,,,,,,,
255,3,,2.0,62.0,Condo/Apartment,,,,,Gas,,D197,D42,,,1.0,1.0,,,,,,,,,,
256,8,,,181.0,Condo/Apartment,,,,,Gas,,No data,No data,,,,2.0,,,,,,,,,,
257,1,,,25.0,,,,,,,,D269,B8,,,,1.0,,,,,,,,,,
258,1,,,32.0,Condo/Apartment,,,,,Electric,,E329,B10,,,1.0,1.0,,,,,,,,,,
259,2,,,102.0,Condo/Apartment,,,,,Electric,,No data,No data,,,,2.0,,,,,,,,,,
260,3,,2.0,48.0,,,,,,,,E296,B9,,,1.0,,,,,,,,,,,
261,4,,3.0,98.0,Condo/Apartment,,,,,Solar,,C166,C29,,,1.0,1.0,,,,,,,,,,
262,4,,2.0,75.0,Condo/Apartment,,,,,Gas,,D235,D34,,,1.0,1.0,,,,,,,,,,
263,2,,1.0,40.0,,,,,,,,D242,D34,,,,1.0,,,,,,,,,,
264,5,,4.0,126.0,Condo/Apartment,,,2024.0,,,,No data,No data,126 m²,,,,,,,,,,,,,
265,2,,1.0,49.0,Condo/Apartment,,,2025.0,,Gas,,A8,B8,49 m²,,,,,,,,,,,,,
266,2,,1.0,33.0,Condo/Apartment,,,,,Electric,,F365,D21,,,,1.0,,,,,,,,,,
267,2,,1.0,36.0,Condo/Apartment,New,,,,,,No data,No data,,,,1.0,,,,,,,,,,
268,3,,2.0,79.0,Condo/Apartment,,,,,Electric,,F414,C13,,,1.0,2.0,,,,,,1.0,,,,
269,4,,3.0,81.0,Condo/Apartment,,,,,Gas,,D189,B6,,,1.0,2.0,,,,,,,,,,
270,5,,4.0,101.0,Condo/Apartment,,,,,Geothermal,,C161,C26,,,1.0,2.0,,,,,,1.0,,,,
271,1,,,33.0,Condo/Apartment,,,,,Geothermal,,E304,E62,,,,1.0,,,,,,,,,,
272,4,,3.0,101.0,Condo/Apartment,,,,,Geothermal,,C161,C26,,,1.0,2.0,,,,,,1.0,,,,
273,2,,1.0,43.0,Condo/Apartment,,,,,Electric,,G589,C19,,,,1.0,,,,,,,,,,
274,3,,2.0,43.0,Condo/Apartment,,,,,Electric,,D208,B6,,,,,,,,,,,,,,
275,1,,,20.0,Condo/Apartment,,,,,Electric,,G761,C25,,,,1.0,,,,,,,,,,
276,2,,1.0,47.0,Condo/Apartment,,,2022.0,,,,A61,B9,47 m²,,1.0,1.0,,,,,,,,,,
277,1,,1.0,24.0,Condo/Apartment,,,1750.0,,Electric,,G933,D31,24 m²,,1.0,1.0,,,,,,,16 m²,,,
278,2,,1.0,56.0,Condo/Apartment,,,1997.0,,Electric,,E310,B10,56 m²,,1.0,1.0,,,,,,,,,,
279,3,,2.0,62.0,Condo/Apartment,,,1920.0,,Electric,,D240,D40,62 m²,,1.0,1.0,,,,,,1.0,30 m²,,,
280,1,,1.0,28.0,Condo/Apartment,,,1960.0,,,,D218,D34,28 m²,,,1.0,1.0,,,,,,,,,
281,4,,2.0,73.0,Condo/Apartment,,,1900.0,,Gas,,D202,D43,73 m²,,,2.0,1.0,,,,,,33 m²,,,
282,1,,1.0,10.0,Condo/Apartment,,,1800.0,,Electric,,D331,A10,10 m²,,,1.0,1.0,,,,,,9 m²,,,
283,5,,3.0,100.0,Condo/Apartment,,,1900.0,,,,F371,D47,100 m²,,1.0,1.0,1.0,,,,,,31 m²,,,
284,5,,3.0,120.0,Condo/Apartment,,,1902.0,,Gas,,D237,E52,120 m²,,1.0,2.0,1.0,,,,,,37 m²,,,
285,4,,3.0,90.0,Condo/Apartment,,,1980.0,,Gas,,C132,C27,90 m²,,2.0,2.0,1.0,,,,,1.0,42 m²,,,
286,5,,3.0,90.0,Condo/Apartment,,,1980.0,,Gas,,C132,C27,90 m²,,2.0,2.0,1.0,,,,,1.0,42 m²,,,
287,2,,1.0,38.0,Condo/Apartment,,,1830.0,,Electric,,E329,C11,38 m²,,,1.0,1.0,,,,,,,,,
288,1,,1.0,29.0,Condo/Apartment,,,1960.0,,Gas,,D200,D40,29 m²,,,1.0,1.0,,,,,,,,,
289,5,,2.0,92.0,Condo/Apartment,,,1914.0,,Electric,,G543,C18,92 m²,,1.0,1.0,,,,,,,,,,
290,6,,4.0,184.0,Condo/Apartment,,,1880.0,,Gas,,No data,No data,184 m²,,,,,,,,,,,,,
291,1,,1.0,34.0,Condo/Apartment,,,1975.0,,,,D240,D40,34 m²,,,1.0,1.0,,,,,,24 m²,,,
292,2,,1.0,40.0,Condo/Apartment,,,,,Gas,,F352,F73,40 m²,,,1.0,1.0,,,,,,21 m²,,,
293,2,,1.0,41.0,Condo/Apartment,,,1939.0,,Electric,,G552,C18,41 m²,,,1.0,1.0,,,,1.0,1.0,18 m²,,,
294,2,,1.0,50.0,Condo/Apartment,,,1880.0,,Gas,,C176,D37,50 m²,,,1.0,1.0,,,,,,,,,
295,2,,1.0,50.0,Condo/Apartment,,,,,Electric,,F345,C11,50 m²,,,,1.0,,,,,,17 m²,,,
296,1,,1.0,15.0,Condo/Apartment,,,1930.0,,Gas,,E300,D46,15 m²,,,1.0,1.0,,,,,,12 m²,,,
297,2,,1.0,51.0,Condo/Apartment,,,1900.0,,Gas,,E297,E64,51 m²,,1.0,,,,,,,,16 m²,,,
298,3,,2.0,140.0,Condo/Apartment,,,1780.0,,Gas,,F350,F80,140 m²,,1.0,1.0,,,,,,,30 m²,,,
299,1,,,39.0,Condo/Apartment,,,1933.0,,Gas,,F411,F90,39 m²,,1.0,1.0,,,,,,,20 m²,,,
300,2,,1.0,64.0,Condo/Apartment,,,1950.0,,Gas,,E264,E61,64 m²,,,1.0,1.0,,,,,,38 m²,,,
301,1,,,17.0,Condo/Apartment,,,1900.0,,Gas,,G471,D48,17 m²,,,1.0,1.0,,,,,,9 m²,,,
302,3,,2.0,70.0,Condo/Apartment,,,1980.0,,Gas,,C157,D33,70 m²,,1.0,1.0,,,,,,1.0,26 m²,,,
303,3,,2.0,67.0,Condo/Apartment,,,,,Gas,,D246,D42,67 m²,,1.0,1.0,,,,,,,30 m²,,,
304,2,,1.0,31.0,Condo/Apartment,,,,,Gas,,F340,F73,31 m²,,,1.0,1.0,,,,,,18 m²,,,
305,3,,2.0,70.0,Condo/Apartment,,,1980.0,,Gas,,C157,D33,70 m²,,1.0,1.0,,,,,,1.0,26 m²,,,
306,4,,3.0,100.0,Condo/Apartment,,,1995.0,,Electric,,D189,B9,100 m²,,1.0,1.0,1.0,,,,,1.0,30 m²,,,
307,4,,3.0,70.0,Condo/Apartment,,,1890.0,,Electric,,C292,A9,70 m²,,2.0,2.0,,,,,,,20 m²,,,
308,3,,2.0,57.0,Condo/Apartment,,,,,Gas,,F396,F87,57 m²,,,1.0,1.0,,,,,,,,,
309,4,,2.0,98.0,Condo/Apartment,,,1976.0,,Gas,,E268,A1,98 m²,,1.0,,,,,,,1.0,34 m²,,,
310,2,,1.0,57.0,Condo/Apartment,,,1968.0,,Gas,,C174,D37,57 m²,,,1.0,1.0,,,,,1.0,22 m²,,,
311,4,,3.0,63.0,Condo/Apartment,,,,,Gas,,E268,E58,63 m²,,,,1.0,,,,,,,,,
312,5,,4.0,136.0,Condo/Apartment,,,1974.0,,,,D191,C24,136 m²,,1.0,2.0,1.0,,,,,1.0,,,,
313,4,,2.0,35.0,Condo/Apartment,,,1890.0,,Electric,,G506,C16,35 m²,,,1.0,1.0,,,,,,9 m²,,,
314,2,,1.0,55.0,Condo/Apartment,,,1993.0,,Electric,,D197,B6,55 m²,,1.0,1.0,1.0,,,,,,,,,
315,4,,3.0,82.0,Condo/Apartment,,,1900.0,,Gas,,E257,D48,82 m²,,1.0,1.0,,,,,,1.0,30 m²,,,
316,4,,3.0,111.0,Condo/Apartment,,,1930.0,,Gas,,D247,D44,111 m²,,1.0,2.0,1.0,,,,,,,,,
317,3,,2.0,70.0,Condo/Apartment,,,1830.0,,,,C180,E60,70 m²,,,1.0,1.0,,,,,,35 m²,,,
318,2,,1.0,57.0,Condo/Apartment,,,,,Electric,,F389,C12,57 m²,,,1.0,1.0,,,,,,,,,
319,1,,1.0,7.0,Condo/Apartment,,,1900.0,,Electric,,G450,D36,7 m²,,,,,,,,,,,,,
