,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment
533,2,,1.0,54.0,Condo/Apartment,,,1978.0,,"Common, Gas",,D159,D30,,,1.0,1.0,,,,,,,,,,
534,2,,,33.0,Condo/Apartment,,,1900.0,,"Individual, Gas",,G618,G111,,,,,,,,,,,,,,
535,2,,1.0,25.0,Condo/Apartment,,,1930.0,,,,F365,C11,,,1.0,1.0,,,,,,,,,,
536,3,,2.0,51.0,Condo/Apartment,,,1900.0,,,,D209,D42,51 m²,,1.0,1.0,,,,,,,17 m²,,,
537,5,,3.0,123.0,Condo/Apartment,,,1950.0,,,,D239,D49,123 m²,,1.0,1.0,,,,,,,28 m²,,,
538,4,,2.0,89.0,Condo/Apartment,,,1970.0,,Gas,,D237,D48,89 m²,,2.0,2.0,,,,,,1.0,29 m²,,,
539,3,,2.0,62.0,Condo/Apartment,,,1900.0,,Gas,,E284,E61,62 m²,,,1.0,,,,,1.0,,,,,
540,5,,3.0,103.0,Condo/Apartment,,,2005.0,,,,C134,C25,103 m²,,2.0,,,,,,,,,,,
541,1,,,4.65,,,,,,,,No data,No data,4 m²,,,,,,,,,,,,,
542,2,,1.0,32.0,Condo/Apartment,,,,,Electric,Hot water tank,E344,B11,32 m²,,1.0,1.0,,,,,,,,,,
543,2,,1.0,42.6,,,,,,,,D215,D6,42 m²,,,,,,,,,,,,,
544,2,4.0,1.0,34.5,Condo/Apartment,,,1850.0,,"Radiator, Individual, Gas",Hot water tank,F361,F78,,,,1.0,1.0,,,,,,,,,
545,1,,,9.0,Condo/Apartment,,,,,"Individual, Electric",,No data,No data,,,,,,,,,,,,,,
546,1,,,10.29,Condo/Apartment,,,1948.0,,"Radiator, Individual, Electric",,F529,C16,,,,,,,,,,,,,,
547,5,1.0,3.0,122.28,Condo/Apartment,,,1930.0,,Common,,E275,D49,,,1.0,,1.0,,,,,,,,,
548,1,,1.0,23.0,Condo/Apartment,,,2000.0,,"Radiator, Individual, Electric",,E311,B9,,,,,,,,,,,,,,
549,3,,2.0,65.0,Condo/Apartment,,,1971.0,,"Radiator, Common, Gas",,D212,C27,,,1.0,1.0,1.0,,,,1.0,,,,,
550,1,,,26.1,Condo/Apartment,,,,,"Air-conditioning, Individual, Heat pump",,C181,A5,,,,,1.0,,,,,,,,,
551,2,3.0,1.0,108.0,House,,,1840.0,,"Convector, Individual, Electric",,D183,A5,,,,1.0,1.0,,,,1.0,,,,,
552,3,,2.0,77.0,Condo/Apartment,,,2011.0,,Common,,C91,C17,,,,1.0,1.0,,,,1.0,,,,,
553,1,,,24.0,Condo/Apartment,,,1896.0,,Common,,No data,No data,,,,1.0,1.0,,,,,,,,,
554,4,2.0,3.0,78.0,Condo/Apartment,,,1980.0,,"Radiator, Individual, Gas",,C133,D27,,,1.0,1.0,,,,,,,,,,
555,3,1.0,2.0,50.77,Condo/Apartment,,,1920.0,,,,E312,E68,,,1.0,1.0,,,,,,,,,,
556,2,,1.0,33.0,Condo/Apartment,,,,,"Radiator, Individual, Electric",,D250,B7,,,,1.0,1.0,,,,,,,,,Calm
557,3,,2.0,58.0,Condo/Apartment,,,1964.0,,"Common, Gas",,C133,C23,,,1.0,1.0,,,,,1.0,,,,,Calm
558,2,,1.0,68.0,Condo/Apartment,,,1934.0,,"Common, Gas",,D202,D43,,,,1.0,1.0,,,,,,,,,Calm
559,2,,1.0,41.13,Condo/Apartment,,,1970.0,,Radiator,,E258,D35,,,1.0,1.0,,,,,,,,,,Calm
560,1,,,25.0,Condo/Apartment,,,1981.0,,"Common, Gas",,G599,C18,,,1.0,1.0,,,,,,,,,,
561,3,,2.0,67.0,Condo/Apartment,,,1956.0,,Common,,D206,D35,,,,1.0,1.0,,,,1.0,,,,,Calm
562,1,,1.0,18.22,Condo/Apartment,,,1934.0,,"Common, Gas",,E343,D43,,,,1.0,1.0,,,,,,,,,
563,3,1.0,2.0,79.92,Condo/Apartment,,,1880.0,,"Individual, Gas",,D229,D49,,,1.0,1.0,,,,,,,,,,
564,1,,1.0,25.18,Condo/Apartment,,,1860.0,,"Convector, Individual, Electric",,G467,C15,,,,1.0,1.0,,,,,,,,,Calm
565,1,,,33.24,Condo/Apartment,,,1991.0,,"Individual, Electric",,D223,A6,,,1.0,1.0,,,,,,,,,,
566,2,,1.0,53.0,Condo/Apartment,,,1800.0,,"Individual, Electric",,D207,B6,,,1.0,1.0,,,,,1.0,,,,,
567,3,1.0,2.0,79.92,Condo/Apartment,,,1880.0,,"Individual, Gas",,D229,D49,,,1.0,1.0,,,,,,,,,,
568,3,,2.0,65.0,Condo/Apartment,,,1960.0,,"Common, Gas",,C140,C16,,,1.0,1.0,1.0,,,,,,,,,
569,2,,1.0,47.5,Condo/Apartment,,,1900.0,,"Individual, Gas",,No data,No data,,,,1.0,1.0,,,,,,,,,Calm
570,2,,1.0,48.0,Condo/Apartment,,,1956.0,,"Common, Gas",,C137,C28,,,1.0,1.0,,,,,,,,,,Calm
571,2,,1.0,50.0,Condo/Apartment,,,1800.0,,"Common, Gas",,D164,D34,,,,1.0,1.0,,,,,,,,,Calm
572,1,,,18.4,Condo/Apartment,,,1999.0,,"Radiator, Individual, Electric",,E264,B7,,,,1.0,1.0,,,,,,,,,
573,1,,,18.4,Condo/Apartment,,,1999.0,,"Radiator, Individual, Electric",,E264,B7,,,,1.0,1.0,,,,,,,,,
574,2,,1.0,31.0,Condo/Apartment,,,,,"Individual, Gas",,E285,E61,,,1.0,1.0,,,,,,,,,,
575,2,,1.0,46.0,Condo/Apartment,,,,,"Common, Gas",,G581,F98,,,1.0,1.0,,,,,,,,,,
576,3,,2.0,58.0,Condo/Apartment,,,,,"Common, Gas",,D193,D41,,,1.0,1.0,,,,,,,,,,
577,2,,1.0,26.0,Condo/Apartment,,,,,"Individual, Electric",,G493,C16,,,,1.0,,,,,,,,,,
578,1,,1.0,33.0,Condo/Apartment,,,,,Individual,,E267,B8,,,,1.0,,,,,,,,,,
579,2,,1.0,33.0,Condo/Apartment,,,1900.0,,Common,,E271,D42,,,1.0,1.0,,,,,,,,,,
580,2,,1.0,49.0,Condo/Apartment,,,1970.0,,Common,,E318,E69,,,,1.0,,,,,1.0,,,,,
581,1,,,40.0,Condo/Apartment,,,,,"Common, Gas",,E325,D44,,,1.0,1.0,,,,,,,,,,
582,3,,2.0,52.0,,,,,,,,D226,D45,,,1.0,,,,,,,,,,,
583,3,,,46.0,Condo/Apartment,,,,,"Common, Gas",,F345,F62,,,,,,,,,,,,,,
584,5,,3.0,136.0,Condo/Apartment,,,1964.0,,Common,,D244,D49,,,2.0,2.0,,,,,,,,,1.0,
585,4,,2.0,185.0,,,,,,,,E315,E50,,,1.0,,,,,,1.0,,,,,
586,3,,,90.0,,,,,,,,No data,No data,,,,,,,,,,,,,,
587,3,,2.0,93.0,,,,,,,,C150,C16,,,,2.0,,,,,1.0,,,,,
588,3,,2.0,66.0,,,,,,,,No data,No data,,,1.0,,,,,,,,,,,
589,2,,1.0,48.0,Condo/Apartment,,,1950.0,,"Individual, Electric",,F392,C12,,,1.0,1.0,,,,,,,,,,
590,1,,,8.0,Condo/Apartment,,,1880.0,,"Individual, Electric",,D32,B9,,,,,,,,,,,,,,
591,1,,1.0,9.0,Condo/Apartment,,,1930.0,,,,F374,F65,,,,,,,,,,,,,,
592,3,,,72.0,Condo/Apartment,,,1900.0,,"Common, Gas",,E186,E55,,,,,,,,,,,,,,
593,6,,4.0,120.0,Condo/Apartment,,,,,"Common, Gas",,C159,C28,,,2.0,2.0,,,,,,,,,,
594,7,,4.0,316.0,Condo/Apartment,,,1880.0,,"Common, Gas",,E315,E54,,,3.0,,,,,,,,,,,
595,1,,,7.0,,,,,,,,F657,C22,,,,,,,,,,,,,,
596,5,,3.0,117.0,Condo/Apartment,,,2011.0,,,,No data,No data,,,2.0,2.0,,,,,,,,,1.0,
597,2,,1.0,26.0,Condo/Apartment,,,1955.0,,,,No data,No data,,,1.0,1.0,,,,,,,,,,
598,3,,2.0,51.0,Condo/Apartment,,,,,Individual,,D228,D49,,,1.0,1.0,,,,,,,,,,
599,2,,,24.0,Condo/Apartment,,,1908.0,,"Individual, Electric",,G578,C19,,,,,,,,,,,,,,
600,3,,1.0,53.0,Condo/Apartment,,,,,Individual,,E281,B9,,,1.0,1.0,,,,,,,,,,
601,3,,2.0,58.0,House,,,,,"Individual, Electric",,F415,C13,,,1.0,2.0,,,,,,,,,,
602,3,,1.0,65.0,Condo/Apartment,,,,,"Individual, Electric",,No data,No data,,,,1.0,,,,,,,,,,
603,3,,2.0,58.0,Condo/Apartment,,,,,"Individual, Electric",,F415,C13,,,1.0,2.0,,,,,,,,,,
604,2,,1.0,38.0,Condo/Apartment,,,,,Individual,,E326,B10,,,1.0,1.0,,,,,,,,,,
605,3,,2.0,82.0,Condo/Apartment,,,,,Individual,,E254,E55,,,2.0,1.0,,,,,,,,,,
606,2,,1.0,45.0,Condo/Apartment,,,,,Common,,E268,D34,,,1.0,1.0,,,,,,,,,,
607,1,,,18.0,Condo/Apartment,,,1900.0,,"Individual, Electric",,G577,C18,,,,1.0,,,,,,,,,,
608,2,,1.0,35.0,Condo/Apartment,,,,,Individual,,G490,C16,,,1.0,1.0,,,,,,,,,,
609,2,,1.0,39.0,Condo/Apartment,,,1799.0,,"Individual, Electric",,D235,B7,,,1.0,1.0,,,,,,,,,,
610,1,,,12.0,Condo/Apartment,,,,,"Individual, Electric",,C270,A8,,,,1.0,,,,,,,,,,
611,4,,2.0,102.0,Condo/Apartment,,,1972.0,,Common,,C152,C18,,,,1.0,,,,,1.0,,,,,
612,2,,1.0,54.0,Condo/Apartment,,,1970.0,,Common,,D230,D49,,,,1.0,,,,,1.0,,,,,
613,2,,1.0,47.0,Condo/Apartment,,,1994.0,,Common,,D187,D37,,,1.0,1.0,,,,,1.0,,,,1.0,
614,3,,2.0,66.0,Condo/Apartment,,,1967.0,,Common,,C126,C26,,,,1.0,,,,,1.0,,,,,
615,2,,1.0,47.0,Condo/Apartment,,,1978.0,,Common,,D219,D47,,,,1.0,,,,,,,,,,
616,1,,1.0,11.0,Condo/Apartment,,,1930.0,,,,No data,No data,,,,1.0,,,,,,,,,,
617,2,,1.0,37.0,Condo/Apartment,,,1880.0,,"Individual, Electric",,F418,C13,,,,1.0,,,,,,,,,,
618,3,,1.0,77.0,Condo/Apartment,,,1880.0,,"Individual, Gas",,C168,A5,,,,1.0,,,,,,,,,,
619,4,,2.0,150.0,Condo/Apartment,,,1954.0,,"Common, Fuel oil",,D205,D45,,,1.0,2.0,,,,,,,,,,
620,2,,,42.0,,,,,,,,G447,C16,,,,,,,,,,,,,,
621,3,,2.0,45.0,Condo/Apartment,,,1914.0,,"Individual, Gas",,D195,D41,,,,1.0,,,,,,,,,,
622,2,,,27.0,Condo/Apartment,,,,,"Individual, Electric",,E318,B10,,,,,,,,,,,,,,
623,2,,,36.0,Condo/Apartment,,,1850.0,,"Common, Gas",,F357,E55,,,,,,,,,,,,,,
624,2,,1.0,36.0,Condo/Apartment,,,1900.0,,Individual,,D249,B8,,,,1.0,,,,,,,,,,
625,7,,3.0,165.0,Condo/Apartment,,,1880.0,,"Individual, Gas",,F344,E57,,,3.0,3.0,,,,,,,,,,
626,2,,1.0,58.0,Condo/Apartment,,,1900.0,,"Individual, Gas",,C145,C29,,,,1.0,,,,,,,,,,
627,3,,1.0,58.0,Condo/Apartment,,,1900.0,,"Individual, Gas",,C145,C29,,,,1.0,,,,,,,,,,
628,2,,,68.0,Condo/Apartment,,,1934.0,,Common,,No data,No data,,,,,,,,,,,,,,
629,1,,1.0,28.0,Condo/Apartment,,,1930.0,,Common,,No data,No data,28 m²,,,,,,,,,,,,,
630,4,7.0,2.0,102.1,Condo/Apartment,Requires renovation,,1972.0,,"Radiator, Common","Boiler, Collective",C152,C18,102.1 m²,Main drainage,,,,,,,,,,,,
